opportunity_id,customer_id,sales_rep_id,product_id,created_date,deal_size,stage,close_date
OPP200038,CUST10803,REP1009,P1012,2026-05-05,3789,Negotiation,2026-05-25
OPP200039,CUST10915,REP1001,P1011,2026-04-01,24001,Qualified,2026-04-11
OPP200040,CUST10806,REP1015,P1002,2026-02-06,12624,Prospecting,2026-03-05
OPP200041,CUST10445,REP1006,P1005,2026-04-13,29932,Prospecting,2026-05-18
OPP200042,CUST11152,REP1006,P1007,2026-02-13,1153,Lost,2026-02-28
OPP200043,CUST10362,REP1004,P1002,2026-01-20,15575,Negotiation,2026-05-01
OPP200044,CUST10416,REP1022,P1012,2026-02-14,9930,Prospecting,2026-04-11
OPP200045,CUST10334,REP1015,P1008,2026-05-31,29577,Lost,2026-08-08
OPP200046,CUST10360,REP1029,P1011,2026-04-06,20411,Won,2026-07-19
OPP200047,CUST10256,REP1012,P1004,2026-02-22,23384,Qualified,2026-06-03
OPP200048,CUST10698,REP1007,P1009,2026-03-02,9416,Proposal,2026-06-09
OPP200049,CUST10875,REP1007,P1002,2026-05-23,26939,Won,2026-06-21
OPP200050,CUST10516,REP1029,P1001,2026-04-21,25376,Negotiation,2026-07-21
OPP200051,CUST11108,REP1018,P1008,2026-05-09,23737,Proposal,2026-09-05
OPP200052,CUST10569,REP1010,P1001,2026-04-12,14844,Proposal,2026-04-19
OPP200053,CUST10561,REP1020,P1004,2026-06-14,27736,Prospecting,2026-09-27
OPP200054,CUST10084,REP1017,P1010,2026-04-20,20405,Proposal,2026-08-02
OPP200055,CUST11085,REP1004,P1006,2026-03-08,2905,Qualified,2026-06-18
OPP200056,CUST10178,REP1022,P1005,2026-02-11,26632,Qualified,2026-04-03
OPP200057,CUST10198,REP1004,P1004,2026-01-08,1607,Qualified,2026-02-06
OPP200058,CUST11123,REP1006,P1009,2026-05-08,20801,Negotiation,2026-08-05
OPP200059,CUST10624,REP1022,P1012,2026-06-04,8247,Proposal,2026-08-20
OPP200060,CUST10082,REP1014,P1009,2026-04-21,27022,Proposal,2026-07-19
OPP200061,CUST10531,REP1007,P1005,2026-03-22,22163,Prospecting,2026-04-26
OPP200062,CUST10709,REP1003,P1006,2026-01-22,24433,Lost,2026-02-18
OPP200063,CUST10013,REP1018,P1002,2026-04-17,21294,Qualified,2026-08-03
OPP200064,CUST10906,REP1021,P1002,2026-02-03,17444,Proposal,2026-04-09
OPP200065,CUST10803,REP1007,P1004,2026-04-14,26048,Prospecting,2026-07-26
OPP200066,CUST10015,REP1013,P1005,2026-02-19,9619,Negotiation,2026-06-10
OPP200067,CUST10743,REP1011,P1012,2026-05-24,16322,Proposal,2026-07-21
OPP200068,CUST10268,REP1027,P1011,2026-06-05,9646,Proposal,2026-07-11
OPP200069,CUST10882,REP1024,P1002,2026-02-08,4296,Won,2026-05-27
OPP200070,CUST10453,REP1009,P1004,2026-02-24,26384,Won,2026-05-22
OPP200071,CUST10243,REP1016,P1001,2026-06-03,15413,Proposal,2026-08-24
OPP200072,CUST10609,REP1028,P1001,2026-01-04,2562,Proposal,2026-04-29
OPP200073,CUST10532,REP1011,P1005,2026-03-27,24930,Lost,2026-04-30
OPP200074,CUST10410,REP1005,P1012,2026-01-24,28301,Lost,2026-03-12
OPP200075,CUST11055,REP1009,P1003,2026-03-13,20189,Negotiation,2026-03-24
OPP200076,CUST10779,REP1019,P1009,2026-01-06,10484,Won,2026-02-25
OPP200077,CUST10585,REP1030,P1005,2026-01-24,25923,Won,2026-03-22
OPP200078,CUST10272,REP1010,P1007,2026-03-08,22427,Lost,2026-05-05
OPP200079,CUST10683,REP1002,P1011,2026-01-10,9259,Prospecting,2026-02-03
OPP200080,CUST10031,REP1006,P1010,2026-05-13,10570,Lost,2026-08-19
OPP200081,CUST11062,REP1013,P1010,2026-04-06,29645,Negotiation,2026-06-07
OPP200082,CUST10002,REP1003,P1005,2026-03-16,28645,Negotiation,2026-05-11
OPP200083,CUST10839,REP1002,P1001,2026-03-20,20617,Proposal,2026-07-02
OPP200084,CUST10415,REP1020,P1012,2026-05-20,2057,Qualified,2026-07-20
OPP200085,CUST10863,REP1025,P1012,2026-05-21,7658,Won,2026-09-05
OPP200086,CUST10434,REP1007,P1011,2026-01-08,11246,Negotiation,2026-02-09
OPP200087,CUST10032,REP1016,P1006,2026-04-24,16542,Qualified,2026-08-05
OPP200088,CUST11139,REP1018,P1004,2026-03-19,26156,Negotiation,2026-07-15
OPP200089,CUST10920,REP1021,P1003,2026-05-10,25599,Prospecting,2026-08-09
OPP200090,CUST10054,REP1030,P1005,2026-05-11,8947,Proposal,2026-08-26
OPP200091,CUST10040,REP1027,P1005,2026-04-28,4153,Negotiation,2026-07-27
OPP200092,CUST10637,REP1010,P1004,2026-04-23,8992,Negotiation,2026-07-06
OPP200093,CUST11148,REP1030,P1012,2026-02-05,7824,Prospecting,2026-05-09
OPP200094,CUST10694,REP1002,P1008,2026-05-22,27063,Prospecting,2026-09-14
OPP200095,CUST10013,REP1029,P1003,2026-04-27,1413,Qualified,2026-07-11
OPP200096,CUST10840,REP1005,P1008,2026-02-15,25086,Negotiation,2026-05-10
OPP200097,CUST10514,REP1004,P1009,2026-02-08,20047,Lost,2026-02-23
OPP200098,CUST10767,REP1004,P1007,2026-03-25,4067,Won,2026-07-18
OPP200099,CUST10421,REP1004,P1012,2026-02-26,20867,Won,2026-05-31
OPP200100,CUST10010,REP1014,P1012,2026-04-23,17825,Qualified,2026-05-18
OPP200101,CUST10023,REP1020,P1006,2026-03-09,1108,Prospecting,2026-04-17
OPP200102,CUST10759,REP1023,P1006,2026-01-28,7478,Won,2026-03-01
OPP200103,CUST10763,REP1001,P1003,2026-03-07,11092,Proposal,2026-04-19
OPP200104,CUST10387,REP1009,P1010,2026-05-16,7239,Prospecting,2026-08-31
OPP200105,CUST10099,REP1004,P1012,2026-05-18,17785,Proposal,2026-07-16
OPP200106,CUST10928,REP1005,P1008,2026-02-21,18846,Negotiation,2026-04-16
OPP200107,CUST10182,REP1023,P1003,2026-05-13,5921,Qualified,2026-08-16
OPP200108,CUST10227,REP1020,P1007,2026-01-16,4592,Prospecting,2026-03-05
OPP200109,CUST10543,REP1007,P1010,2026-06-13,20004,Negotiation,2026-09-28
OPP200110,CUST10860,REP1010,P1001,2026-05-08,14623,Prospecting,2026-08-08
OPP200111,CUST11195,REP1028,P1008,2026-01-07,8687,Proposal,2026-02-12
OPP200112,CUST10751,REP1018,P1008,2026-04-28,8418,Won,2026-07-15
OPP200113,CUST11153,REP1008,P1007,2026-03-24,2137,Lost,2026-05-24
OPP200114,CUST10783,REP1029,P1008,2026-05-27,25763,Qualified,2026-07-11
OPP200115,CUST11018,REP1006,P1011,2026-02-09,25410,Prospecting,2026-05-29
OPP200116,CUST10212,REP1009,P1002,2026-05-29,17080,Proposal,2026-07-19
OPP200117,CUST10068,REP1021,P1007,2026-05-25,11133,Qualified,2026-06-14
OPP200118,CUST10804,REP1016,P1010,2026-02-16,7238,Won,2026-04-10
OPP200119,CUST11171,REP1003,P1010,2026-03-13,9915,Negotiation,2026-05-17
OPP200120,CUST10885,REP1025,P1006,2026-04-17,27867,Proposal,2026-05-08
OPP200121,CUST10412,REP1007,P1012,2026-02-09,3577,Won,2026-05-10
OPP200122,CUST10588,REP1021,P1004,2026-06-15,24863,Qualified,2026-07-17
OPP200123,CUST10135,REP1011,P1006,2026-02-01,9830,Proposal,2026-02-18
OPP200124,CUST10409,REP1023,P1010,2026-02-10,8693,Lost,2026-04-18
OPP200125,CUST10820,REP1027,P1006,2026-03-25,24483,Qualified,2026-04-19
OPP200126,CUST10200,REP1024,P1005,2026-03-20,28870,Qualified,2026-06-23
OPP200127,CUST10578,REP1028,P1007,2026-01-09,29754,Won,2026-01-23
OPP200128,CUST10348,REP1017,P1008,2026-06-01,8764,Proposal,2026-07-25
OPP200129,CUST10589,REP1002,P1012,2026-02-09,18141,Qualified,2026-02-21
OPP200130,CUST10917,REP1017,P1008,2026-01-18,9486,Prospecting,2026-03-09
OPP200131,CUST11062,REP1014,P1003,2026-03-28,6610,Proposal,2026-07-18
OPP200132,CUST10492,REP1022,P1001,2026-06-04,12192,Proposal,2026-08-23
OPP200133,CUST10993,REP1008,P1012,2026-01-01,2810,Proposal,2026-03-09
OPP200134,CUST10844,REP1021,P1006,2026-03-23,5779,Qualified,2026-04-16
OPP200135,CUST11107,REP1014,P1003,2026-06-01,18270,Qualified,2026-07-13
OPP200136,CUST10889,REP1021,P1003,2026-05-29,20923,Negotiation,2026-07-18
OPP200137,CUST10661,REP1013,P1002,2026-01-29,8843,Won,2026-04-11
OPP200138,CUST10810,REP1012,P1003,2026-04-14,17162,Negotiation,2026-05-14
OPP200139,CUST10382,REP1007,P1010,2026-05-19,23170,Negotiation,2026-09-15
OPP200140,CUST10809,REP1025,P1008,2026-04-22,26939,Won,2026-07-11
OPP200141,CUST10851,REP1003,P1008,2026-04-20,17485,Prospecting,2026-06-01
OPP200142,CUST10733,REP1008,P1001,2026-05-09,7985,Qualified,2026-05-28
OPP200143,CUST10124,REP1013,P1009,2026-03-17,21666,Prospecting,2026-05-30
OPP200144,CUST10623,REP1005,P1012,2026-01-12,5936,Qualified,2026-03-10
OPP200145,CUST10854,REP1028,P1012,2026-04-17,5035,Lost,2026-07-09
OPP200146,CUST10238,REP1011,P1005,2026-04-15,11400,Qualified,2026-06-28
OPP200147,CUST10945,REP1008,P1008,2026-05-22,10536,Won,2026-08-09
OPP200148,CUST11012,REP1008,P1004,2026-06-03,5237,Prospecting,2026-09-12
OPP200149,CUST10647,REP1006,P1011,2026-02-26,2518,Proposal,2026-05-03
OPP200150,CUST11158,REP1020,P1012,2026-06-08,28438,Qualified,2026-09-04
OPP200151,CUST11030,REP1015,P1003,2026-01-02,20642,Qualified,2026-02-18
OPP200152,CUST10560,REP1007,P1006,2026-06-10,21805,Qualified,2026-10-01
OPP200153,CUST11062,REP1027,P1003,2026-01-23,2922,Negotiation,2026-03-17
OPP200154,CUST11120,REP1020,P1008,2026-04-18,24089,Proposal,2026-07-10
OPP200155,CUST10130,REP1013,P1004,2026-04-24,11569,Won,2026-08-21
OPP200156,CUST11198,REP1016,P1009,2026-04-16,22693,Lost,2026-06-01
OPP200157,CUST10006,REP1020,P1012,2026-06-14,15221,Proposal,2026-07-02
OPP200158,CUST10584,REP1005,P1011,2026-04-02,8041,Lost,2026-05-05
OPP200159,CUST11126,REP1025,P1003,2026-01-22,8604,Prospecting,2026-02-25
OPP200160,CUST10870,REP1008,P1002,2026-04-11,5079,Qualified,2026-04-24
OPP200161,CUST10321,REP1001,P1010,2026-02-18,25060,Proposal,2026-04-27
OPP200162,CUST10773,REP1016,P1001,2026-04-12,13453,Negotiation,2026-05-20
OPP200163,CUST10258,REP1027,P1005,2026-03-05,23621,Proposal,2026-03-22
OPP200164,CUST10285,REP1022,P1012,2026-01-08,25041,Proposal,2026-01-30
OPP200165,CUST11094,REP1010,P1006,2026-04-16,5842,Won,2026-05-23
OPP200166,CUST10057,REP1012,P1001,2026-01-15,10584,Qualified,2026-03-04
OPP200167,CUST11155,REP1018,P1012,2026-02-24,4600,Won,2026-06-21
OPP200168,CUST10545,REP1007,P1009,2026-04-13,1277,Proposal,2026-07-08
OPP200169,CUST10078,REP1025,P1004,2026-05-27,29608,Proposal,2026-08-22
OPP200170,CUST10945,REP1009,P1008,2026-02-22,20141,Qualified,2026-05-18
OPP200171,CUST10058,REP1007,P1008,2026-02-19,14098,Qualified,2026-05-27
OPP200172,CUST10391,REP1003,P1007,2026-02-20,6801,Proposal,2026-04-03
OPP200173,CUST10289,REP1021,P1012,2026-04-06,18137,Won,2026-04-24
OPP200174,CUST10942,REP1001,P1010,2026-02-02,16742,Proposal,2026-04-07
OPP200175,CUST10477,REP1025,P1004,2026-03-29,7463,Prospecting,2026-04-05
OPP200176,CUST10786,REP1030,P1012,2026-05-13,1431,Won,2026-06-13
OPP200177,CUST10087,REP1004,P1012,2026-01-14,14600,Negotiation,2026-04-16
OPP200178,CUST10835,REP1003,P1001,2026-06-10,15756,Lost,2026-08-12
OPP200179,CUST10854,REP1029,P1004,2026-03-30,24149,Proposal,2026-06-23
OPP200180,CUST10343,REP1004,P1008,2026-04-15,12414,Negotiation,2026-06-18
OPP200181,CUST11058,REP1013,P1011,2026-04-13,3815,Proposal,2026-06-20
OPP200182,CUST10565,REP1027,P1009,2026-06-06,26531,Negotiation,2026-07-17
OPP200183,CUST10801,REP1005,P1007,2026-04-21,12994,Proposal,2026-05-22
OPP200184,CUST10219,REP1020,P1004,2026-05-27,21932,Prospecting,2026-07-02
OPP200185,CUST11120,REP1012,P1002,2026-02-17,2251,Lost,2026-05-25
OPP200186,CUST10296,REP1014,P1011,2026-02-06,2044,Won,2026-06-03
OPP200187,CUST10752,REP1028,P1007,2026-04-17,1675,Negotiation,2026-05-03
OPP200188,CUST10108,REP1020,P1006,2026-01-26,23896,Proposal,2026-04-03
OPP200189,CUST10054,REP1010,P1012,2026-01-19,7983,Negotiation,2026-03-20
OPP200190,CUST10153,REP1029,P1002,2026-02-05,23945,Prospecting,2026-04-16
OPP200191,CUST11132,REP1018,P1004,2026-02-14,28400,Qualified,2026-03-19
OPP200192,CUST10253,REP1003,P1011,2026-01-16,20238,Prospecting,2026-01-23
OPP200193,CUST11056,REP1012,P1004,2026-05-01,29587,Prospecting,2026-05-30
OPP200194,CUST10697,REP1008,P1012,2026-04-07,27949,Prospecting,2026-05-04
OPP200195,CUST10107,REP1020,P1011,2026-02-03,21957,Won,2026-02-15
OPP200196,CUST10530,REP1026,P1002,2026-02-16,24294,Qualified,2026-04-04
OPP200197,CUST10576,REP1002,P1006,2026-06-04,18500,Won,2026-08-27
OPP200198,CUST10321,REP1024,P1010,2026-06-01,7348,Lost,2026-09-25
OPP200199,CUST10725,REP1028,P1006,2026-01-21,3982,Prospecting,2026-04-12
OPP200200,CUST11034,REP1030,P1003,2026-04-12,12064,Negotiation,2026-05-08
OPP200201,CUST11061,REP1020,P1001,2026-02-23,14779,Proposal,2026-04-11
OPP200202,CUST10631,REP1010,P1001,2026-03-01,11147,Lost,2026-04-11
OPP200203,CUST11073,REP1005,P1003,2026-04-10,3958,Proposal,2026-05-10
OPP200204,CUST11108,REP1029,P1004,2026-06-13,15642,Qualified,2026-10-09
OPP200205,CUST10106,REP1013,P1004,2026-04-07,15459,Qualified,2026-06-27
OPP200206,CUST10762,REP1011,P1011,2026-06-08,28657,Lost,2026-08-08
OPP200207,CUST10928,REP1023,P1007,2026-05-17,28674,Qualified,2026-07-12
OPP200208,CUST10019,REP1022,P1002,2026-05-10,18852,Won,2026-06-21
OPP200209,CUST10725,REP1025,P1001,2026-05-12,25663,Prospecting,2026-07-05
OPP200210,CUST11097,REP1027,P1002,2026-05-12,10075,Negotiation,2026-07-29
OPP200211,CUST10322,REP1027,P1004,2026-02-12,29110,Proposal,2026-06-03
OPP200212,CUST11029,REP1006,P1009,2026-06-12,28304,Prospecting,2026-08-14
OPP200213,CUST11121,REP1006,P1001,2026-06-02,4633,Prospecting,2026-06-29
OPP200214,CUST10763,REP1007,P1005,2026-04-10,21307,Qualified,2026-08-03
OPP200215,CUST10756,REP1019,P1006,2026-04-29,14275,Won,2026-06-10
OPP200216,CUST10642,REP1018,P1002,2026-05-27,8716,Won,2026-06-12
OPP200217,CUST10491,REP1026,P1001,2026-01-26,12947,Qualified,2026-04-04
OPP200218,CUST10544,REP1026,P1003,2026-01-11,27288,Proposal,2026-04-17
OPP200219,CUST10627,REP1025,P1002,2026-06-15,27803,Prospecting,2026-07-21
OPP200220,CUST10579,REP1003,P1010,2026-04-02,10982,Negotiation,2026-05-10
OPP200221,CUST10992,REP1021,P1012,2026-04-30,14392,Won,2026-06-08
OPP200222,CUST10924,REP1026,P1008,2026-03-25,15970,Won,2026-07-01
OPP200223,CUST10418,REP1030,P1010,2026-03-27,22272,Won,2026-07-20
OPP200224,CUST10616,REP1011,P1010,2026-01-07,14897,Qualified,2026-04-19
OPP200225,CUST10259,REP1024,P1011,2026-02-18,12481,Qualified,2026-03-22
OPP200226,CUST10212,REP1013,P1002,2026-01-15,27785,Won,2026-04-27
OPP200227,CUST10443,REP1005,P1012,2026-03-13,11808,Prospecting,2026-04-23
OPP200228,CUST10070,REP1011,P1006,2026-01-04,8704,Prospecting,2026-04-18
OPP200229,CUST11026,REP1008,P1007,2026-05-14,10481,Qualified,2026-09-10
OPP200230,CUST10152,REP1028,P1010,2026-02-18,10665,Won,2026-05-17
OPP200231,CUST10392,REP1006,P1006,2026-05-04,17098,Negotiation,2026-08-26
OPP200232,CUST10302,REP1004,P1004,2026-01-09,20144,Lost,2026-02-01
OPP200233,CUST10249,REP1018,P1001,2026-01-06,4895,Qualified,2026-03-27
OPP200234,CUST10442,REP1018,P1003,2026-03-12,26711,Qualified,2026-03-24
OPP200235,CUST10864,REP1017,P1002,2026-05-11,8349,Qualified,2026-07-30
OPP200236,CUST11071,REP1005,P1005,2026-05-15,4331,Won,2026-06-29
OPP200237,CUST10227,REP1015,P1010,2026-04-01,20381,Qualified,2026-07-26
OPP200238,CUST10287,REP1028,P1005,2026-04-12,7086,Lost,2026-06-13
OPP200239,CUST10564,REP1003,P1008,2026-04-25,22751,Proposal,2026-07-27
OPP200240,CUST10384,REP1024,P1003,2026-04-22,28492,Won,2026-06-02
OPP200241,CUST10960,REP1004,P1008,2026-05-04,21083,Won,2026-05-19
OPP200242,CUST10268,REP1008,P1012,2026-01-06,23541,Proposal,2026-04-06
OPP200243,CUST10483,REP1027,P1004,2026-03-13,15348,Won,2026-04-14
OPP200244,CUST10655,REP1009,P1006,2026-05-20,11036,Qualified,2026-08-16
OPP200245,CUST10458,REP1016,P1012,2026-03-15,18783,Won,2026-05-13
OPP200246,CUST10741,REP1012,P1008,2026-01-25,11371,Won,2026-05-21
OPP200247,CUST10960,REP1019,P1005,2026-04-21,26409,Proposal,2026-06-06
OPP200248,CUST10639,REP1013,P1002,2026-02-20,14616,Qualified,2026-04-13
OPP200249,CUST10549,REP1014,P1012,2026-03-26,15470,Lost,2026-06-24
OPP200250,CUST11143,REP1025,P1008,2026-03-27,20540,Lost,2026-06-30
OPP200251,CUST11179,REP1017,P1001,2026-04-26,6490,Negotiation,2026-05-17
OPP200252,CUST11195,REP1017,P1007,2026-06-04,17270,Lost,2026-09-02
OPP200253,CUST10020,REP1025,P1012,2026-04-26,22864,Proposal,2026-06-27
OPP200254,CUST11005,REP1013,P1012,2026-06-15,23507,Qualified,2026-10-11
OPP200255,CUST11079,REP1025,P1003,2026-01-04,7523,Proposal,2026-03-23
OPP200256,CUST10967,REP1022,P1005,2026-05-10,2570,Prospecting,2026-08-12
OPP200257,CUST10900,REP1027,P1012,2026-03-11,6632,Proposal,2026-04-25
OPP200258,CUST10440,REP1014,P1010,2026-05-02,24752,Negotiation,2026-06-10
OPP200259,CUST10872,REP1017,P1007,2026-01-15,8697,Prospecting,2026-04-20
OPP200260,CUST10696,REP1004,P1004,2026-03-29,2683,Qualified,2026-04-06
OPP200261,CUST10998,REP1004,P1010,2026-01-05,18320,Won,2026-03-18
OPP200262,CUST10422,REP1004,P1007,2026-04-21,26548,Won,2026-08-15
OPP200263,CUST10892,REP1019,P1007,2026-02-05,7509,Lost,2026-06-04
OPP200264,CUST10942,REP1010,P1012,2026-01-24,2254,Qualified,2026-04-21
OPP200265,CUST11001,REP1009,P1005,2026-01-14,5063,Won,2026-03-18
OPP200266,CUST10207,REP1019,P1008,2026-02-14,4707,Prospecting,2026-05-23
OPP200267,CUST11037,REP1012,P1001,2026-06-09,6931,Prospecting,2026-06-17
OPP200268,CUST10261,REP1005,P1009,2026-06-13,6225,Won,2026-09-17
OPP200269,CUST11125,REP1017,P1007,2026-01-14,19473,Proposal,2026-02-11
OPP200270,CUST10047,REP1017,P1011,2026-06-12,7468,Won,2026-09-10
OPP200271,CUST10269,REP1005,P1004,2026-04-08,16901,Qualified,2026-05-24
OPP200272,CUST10731,REP1009,P1012,2026-02-23,12651,Qualified,2026-05-25
OPP200273,CUST10653,REP1008,P1007,2026-06-06,19976,Proposal,2026-08-20
OPP200274,CUST10827,REP1021,P1003,2026-02-10,20008,Prospecting,2026-06-02
OPP200275,CUST10485,REP1008,P1002,2026-01-31,18194,Qualified,2026-05-06
OPP200276,CUST10005,REP1001,P1003,2026-02-08,26885,Prospecting,2026-05-29
OPP200277,CUST10742,REP1009,P1004,2026-01-25,6691,Qualified,2026-02-18
OPP200278,CUST10613,REP1015,P1007,2026-03-22,16210,Won,2026-05-10
OPP200279,CUST10611,REP1024,P1011,2026-01-24,12433,Prospecting,2026-03-21
OPP200280,CUST10453,REP1002,P1012,2026-02-07,16442,Negotiation,2026-02-17
OPP200281,CUST11069,REP1027,P1009,2026-03-03,5059,Negotiation,2026-03-12
OPP200282,CUST10951,REP1010,P1006,2026-04-18,10259,Proposal,2026-04-29
OPP200283,CUST10218,REP1011,P1008,2026-05-23,28289,Proposal,2026-08-24
OPP200284,CUST10047,REP1001,P1004,2026-01-13,24219,Negotiation,2026-03-11
OPP200285,CUST10218,REP1009,P1003,2026-04-15,13355,Won,2026-07-15
OPP200286,CUST10059,REP1015,P1007,2026-01-18,4204,Prospecting,2026-04-29
OPP200287,CUST10852,REP1019,P1010,2026-06-14,19806,Won,2026-06-25
OPP200288,CUST10745,REP1024,P1001,2026-02-15,9731,Prospecting,2026-05-28
OPP200289,CUST10556,REP1016,P1002,2026-05-23,10554,Proposal,2026-06-24
OPP200290,CUST10710,REP1004,P1003,2026-05-10,3812,Proposal,2026-07-01
OPP200291,CUST10971,REP1012,P1003,2026-02-23,9383,Prospecting,2026-06-18
OPP200292,CUST10998,REP1023,P1002,2026-02-23,7211,Prospecting,2026-04-05
OPP200293,CUST10522,REP1020,P1002,2026-02-22,1985,Prospecting,2026-06-15
OPP200294,CUST10711,REP1018,P1001,2026-03-20,18011,Prospecting,2026-05-23
OPP200295,CUST10693,REP1016,P1005,2026-03-15,29115,Proposal,2026-03-23
OPP200296,CUST11140,REP1016,P1009,2026-04-19,4652,Prospecting,2026-07-29
OPP200297,CUST10914,REP1030,P1002,2026-03-19,2521,Won,2026-03-31
OPP200298,CUST10378,REP1018,P1004,2026-05-11,3917,Won,2026-07-28
OPP200299,CUST11065,REP1018,P1012,2026-03-19,16830,Qualified,2026-05-16
OPP200300,CUST10478,REP1011,P1003,2026-02-20,24951,Prospecting,2026-03-14
OPP200301,CUST10910,REP1015,P1012,2026-02-24,9979,Proposal,2026-04-30
OPP200302,CUST11174,REP1022,P1007,2026-05-02,4430,Won,2026-06-18
OPP200303,CUST10971,REP1026,P1009,2026-01-24,3782,Proposal,2026-02-11
OPP200304,CUST10130,REP1024,P1004,2026-02-17,18633,Prospecting,2026-04-27
OPP200305,CUST10247,REP1020,P1004,2026-02-21,11345,Lost,2026-03-04
OPP200306,CUST10956,REP1024,P1005,2026-04-17,11208,Proposal,2026-06-23
OPP200307,CUST10149,REP1001,P1002,2026-01-22,7920,Qualified,2026-02-23
OPP200308,CUST10014,REP1009,P1004,2026-03-16,26994,Won,2026-06-24
OPP200309,CUST10310,REP1008,P1011,2026-04-22,11871,Lost,2026-08-14
OPP200310,CUST10584,REP1020,P1001,2026-06-03,21518,Proposal,2026-09-23
OPP200311,CUST10155,REP1023,P1007,2026-03-14,22526,Qualified,2026-07-04
OPP200312,CUST10185,REP1005,P1009,2026-06-13,2723,Proposal,2026-07-01
OPP200313,CUST10407,REP1006,P1002,2026-04-11,8204,Qualified,2026-06-14
OPP200314,CUST10719,REP1015,P1002,2026-05-09,26968,Proposal,2026-06-10
OPP200315,CUST10654,REP1030,P1007,2026-02-10,26601,Qualified,2026-02-27
OPP200316,CUST10958,REP1001,P1003,2026-06-01,13003,Negotiation,2026-07-22
OPP200317,CUST11177,REP1027,P1012,2026-02-13,5530,Won,2026-04-09
OPP200318,CUST10040,REP1006,P1003,2026-01-23,9648,Lost,2026-03-04
OPP200319,CUST10826,REP1009,P1002,2026-01-14,28528,Won,2026-02-02
OPP200320,CUST10197,REP1019,P1004,2026-04-19,20510,Prospecting,2026-06-11
OPP200321,CUST10433,REP1022,P1004,2026-04-15,3187,Qualified,2026-05-09
OPP200322,CUST10412,REP1027,P1002,2026-02-02,21821,Proposal,2026-02-13
OPP200323,CUST10841,REP1001,P1008,2026-05-26,5261,Qualified,2026-07-22
OPP200324,CUST10307,REP1002,P1005,2026-02-15,9794,Prospecting,2026-03-01
OPP200325,CUST11074,REP1015,P1007,2026-04-12,14967,Won,2026-08-06
