week,revenue,net_revenue,cogs,gross_profit,quantity,transactions,gross_margin_pct,margin_lag_1,margin_lag_2,margin_lag_4,margin_rolling_4w,margin_rolling_8w,profit_lag_1,profit_lag_2,profit_lag_4,profit_rolling_4w,profit_rolling_8w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_rolling_4w,revenue_rolling_8w,year,month,quarter,week_of_year,profit_growth_1w,profit_growth_4w
2026-06-09,1052067.7,932082.66,279250.0,652832.66,73.0,12.0,70.04021081134584,73.80151854980272,73.9139186053974,63.284977550232036,71.63916062672416,69.34476017580756,316953.64,425682.32,167148.77,282188.175,247068.00999999998,429467.64,575916.32,264120.77,389828.17500000005,350941.26,2026,6,2,24,-0.2554221185413573,0.4834478930110073
2026-06-16,274650.86,256097.52000000002,66230.0,189867.52000000002,28.0,6.0,74.13875776696315,70.04021081134584,73.80151854980272,75.55622780146453,73.32796894200263,69.74063606160806,652832.66,316953.64,218967.97,403609.1475,318169.78375,932082.66,429467.64,289807.97000000003,556818.6475,451746.78375,2026,6,2,25,1.059710246583696,2.9056982591017575
2026-06-23,338556.82999999996,308259.04,85630.0,222629.03999999998,31.0,5.0,72.22141482047047,74.13875776696315,70.04021081134584,73.9139186053974,72.97360143337728,71.68902863504756,189867.52000000002,652832.66,425682.32,396334.03500000003,317373.4475,256097.52000000002,932082.66,575916.32,548391.0349999999,441864.6975,2026,6,2,26,-0.709163570339756,-0.13289820424420973
2026-06-30,165869.39,157675.02,55844.0,101831.01999999999,23.0,8.0,64.58284895096256,72.22141482047047,74.13875776696315,73.80151854980272,72.55047548714555,71.36789546126805,222629.03999999998,189867.52000000002,316953.64,345570.715,300967.75375000003,308259.04,256097.52000000002,429467.64,481476.715,421252.75375000003,2026,6,2,27,0.17254936494667428,-0.4770066090600146
2026-07-07,577998.64,536439.34,158670.0,377769.34,49.0,12.0,70.42163238810936,64.58284895096256,72.22141482047047,70.04021081134584,70.2458080874355,70.94248435707983,101831.01999999999,222629.03999999998,652832.66,291790.06000000006,286989.11750000005,157675.02,308259.04,932082.66,413528.56000000006,401678.36750000005,2026,7,3,28,-0.5425977671196893,-0.678719512418283
2026-07-14,449400.08,396457.79000000004,103294.0,293163.79,41.0,9.0,73.94577616951352,70.42163238810936,64.58284895096256,74.13875776696315,70.34116348162638,71.8345662118145,377769.34,101831.01999999999,189867.52000000002,223024.23,313316.68875000003,536439.34,157675.02,256097.52000000002,314617.73,435718.18875000003,2026,7,3,29,2.709766827436277,-0.42133817263370366
2026-07-21,345883.95999999996,306735.67,98270.0,208465.66999999998,31.0,7.0,67.96264353604522,73.94577616951352,70.42163238810936,72.22141482047047,70.29291808226398,71.63325975782062,293163.79,377769.34,222629.03999999998,248848.2975,322591.16625,396457.79000000004,536439.34,308259.04,349707.7975,449049.41625,2026,7,3,30,-0.22396086987895847,0.5440439207295695
2026-07-28,638977.19,579869.71,164830.0,415039.71,50.0,11.0,71.57464907073695,67.96264353604522,73.94577616951352,64.58284895096256,69.22822526115766,70.8893503741516,208465.66999999998,293163.79,101831.01999999999,245307.455,295439.085,306735.67,396457.79000000004,157675.02,349326.95499999996,415401.835,2026,7,3,31,-0.28891057794006547,-0.06361869951916421
2026-08-04,240150.1,209604.42,40520.0,169084.42,24.0,4.0,80.6683465930728,71.57464907073695,67.96264353604522,70.42163238810936,70.97617529110127,70.61099168926839,415039.71,208465.66999999998,377769.34,323609.6275,307699.84375,579869.71,306735.67,536439.34,454875.62749999994,434202.09375,2026,8,3,32,0.9909259399881047,3.075768955275122
2026-08-11,404898.77,366424.63,122910.0,243514.63,26.0,5.0,66.45694914121903,80.6683465930728,71.57464907073695,73.94577616951352,73.53785384234212,71.93950866198426,169084.42,415039.71,293163.79,271438.3975,247231.31375,209604.42,579869.71,396457.79000000004,373166.89749999996,343892.31375,2026,8,3,33,-0.5926066447955064,-0.5524135971436962
2026-08-18,68873.37,64672.09,10080.0,54592.09,8.0,1.0,84.41367829615527,66.45694914121903,80.6683465930728,67.96264353604522,71.6656470852685,70.97928258376623,243514.63,169084.42,208465.66999999998,259026.10749999998,253937.2025,366424.63,209604.42,306735.67,365658.6075,357683.2025,2026,8,3,34,0.4401955543863827,-0.16935638606664205
2026-08-25,338688.3,289917.18,104400.0,185517.18,12.0,1.0,63.989715959571626,84.41367829615527,66.45694914121903,71.57464907073695,75.77840577529601,72.50331551822684,54592.09,243514.63,415039.71,220557.71250000002,232932.58375000002,64672.09,366424.63,579869.71,305142.7125,327234.83375,2026,8,3,35,-0.7758159745884672,-0.7381243156247261
2026-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,63.989715959571626,84.41367829615527,80.6683465930728,73.88217249750468,72.42917389430298,185517.18,54592.09,169084.42,163177.08000000002,243393.35375,289917.18,64672.09,209604.42,232654.58000000002,343765.10375,2026,9,3,36,2.3982428589929423,-0.5530134212940734
2026-09-08,0.0,0.0,0.0,0.0,0.0,0.0,,,63.989715959571626,66.45694914121903,71.62011446564864,72.71596553804491,0.0,185517.18,243514.63,120905.97499999999,196172.18625,0.0,289917.18,366424.63,180253.475,276710.18625,2026,9,3,37,-1.0,-1.0
2026-09-15,105346.05,94495.41,13950.0,80545.41,9.0,1.0,85.23737819646479,,,84.41367829615527,74.20169712786344,72.51099709946682,0.0,0.0,54592.09,60027.3175,159526.7125,0.0,0.0,64672.09,88647.3175,227152.9625,2026,9,3,38,,-1.0
