week,revenue,net_revenue,quantity,transactions,active_customers,active_products,active_sales_reps,avg_discount_pct,year,month,quarter,week_of_year,revenue_lag_1,revenue_lag_2,revenue_lag_4,quantity_lag_1,transactions_lag_1,active_customers_lag_1,active_products_lag_1,active_sales_reps_lag_1,avg_discount_pct_lag_1,revenue_rolling_4w,revenue_rolling_8w,revenue_growth_1w,revenue_growth_4w
2026-03-10,177222.99,164382.23,18.0,4.0,4.0,3.0,4.0,0.0535,2026,3,1,11,419324.49,410536.05,233868.61000000002,47.0,9.0,9.0,7.0,8.0,0.0641111111111111,290664.65249999997,258109.95249999998,0.021407230863160542,2.2192244417681843
2026-03-17,209600.63,192981.3,29.0,7.0,7.0,6.0,5.0,0.07228571428571429,2026,3,1,12,164382.23,419324.49,98929.45999999999,18.0,4.0,4.0,3.0,4.0,0.0535,273293.0575,258798.1925,-0.6079832351313418,-0.29711717190263376
2026-03-24,251001.08,228636.58,29.0,6.0,6.0,6.0,6.0,0.06849999999999999,2026,3,1,13,192981.3,164382.23,410536.05,29.0,7.0,7.0,6.0,5.0,0.07228571428571429,296806.0175,226764.74875,0.17397908520890604,0.9506959807523463
2026-03-31,71088.12,68188.95999999999,12.0,6.0,6.0,6.0,6.0,0.04533333333333334,2026,3,1,14,228636.58,192981.3,419324.49,29.0,6.0,6.0,6.0,6.0,0.06849999999999999,251331.15,234864.38624999998,0.18476028506388964,-0.44307794650433263
2026-04-07,62113.479999999996,59227.299999999996,10.0,4.0,4.0,4.0,4.0,0.05625,2026,4,2,15,68188.95999999999,228636.58,164382.23,12.0,6.0,6.0,6.0,6.0,0.04533333333333334,163547.2675,227105.96,-0.7017583100656947,-0.8373837883878426
2026-04-14,135499.74,125638.47,20.0,7.0,7.0,7.0,7.0,0.06828571428571428,2026,4,2,16,59227.299999999996,68188.95999999999,192981.3,10.0,4.0,4.0,4.0,4.0,0.05625,137258.535,205275.79624999998,-0.1314239137831109,-0.6396976729175654
2026-04-21,377433.11,335154.21,31.0,8.0,8.0,6.0,7.0,0.065375,2026,4,2,17,125638.47,59227.299999999996,228636.58,20.0,7.0,7.0,7.0,7.0,0.06828571428571428,120422.82749999998,208614.4225,1.121293221200359,-0.34896039149907265
2026-04-28,528692.8099999999,473154.58999999997,40.0,8.0,8.0,6.0,6.0,0.070875,2026,4,2,18,335154.21,125638.47,68188.95999999999,31.0,8.0,8.0,6.0,7.0,0.065375,147052.235,199191.6925,1.6676081776545035,0.4658818374557563
2026-05-05,345698.38,314270.11,37.0,7.0,7.0,6.0,6.0,0.07471428571428572,2026,5,2,19,473154.58999999997,335154.21,59227.299999999996,40.0,8.0,8.0,6.0,6.0,0.070875,248293.64250000002,205920.455,0.4117518917634957,5.93887382942928
2026-05-12,278691.27999999997,264120.77,39.0,9.0,9.0,7.0,8.0,0.05088888888888889,2026,5,2,20,314270.11,473154.58999999997,125638.47,37.0,7.0,7.0,6.0,6.0,0.07471428571428572,312054.345,224656.44,-0.3357982430224338,4.30616978994484
2026-05-19,326498.39999999997,289807.97000000003,27.0,5.0,5.0,4.0,5.0,0.0726,2026,5,2,21,264120.77,314270.11,335154.21,39.0,9.0,9.0,7.0,8.0,0.05088888888888889,346674.92,233548.87375,-0.15957400466751348,1.102228481451581
2026-05-26,634237.26,575916.32,57.0,12.0,12.0,9.0,9.0,0.07275,2026,5,2,22,289807.97000000003,264120.77,473154.58999999997,27.0,5.0,5.0,4.0,5.0,0.0726,335338.36,241195.29750000002,0.0972555092884213,-0.13529962819204921
2026-06-02,466435.42,429467.64,36.0,10.0,10.0,8.0,8.0,0.059199999999999996,2026,6,2,23,575916.32,289807.97000000003,314270.11,57.0,12.0,12.0,9.0,9.0,0.07275,361028.7925,304661.21749999997,0.9872342365187536,0.21718426106782562
2026-06-09,1052067.7,932082.66,73.0,12.0,12.0,7.0,10.0,0.08158333333333334,2026,6,2,24,429467.64,575916.32,264120.77,36.0,10.0,10.0,8.0,8.0,0.059199999999999996,389828.17500000005,350941.26,-0.2542881229689756,0.36655579494976487
2026-06-16,274650.86,256097.52000000002,28.0,6.0,6.0,4.0,6.0,0.057666666666666665,2026,6,2,25,932082.66,429467.64,289807.97000000003,73.0,12.0,12.0,7.0,10.0,0.08158333333333334,556818.6475,451746.78375,1.1703210514300912,2.5290017517365255
2026-06-23,338556.82999999996,308259.04,31.0,5.0,5.0,4.0,4.0,0.0786,2026,6,2,26,256097.52000000002,932082.66,575916.32,28.0,6.0,6.0,4.0,6.0,0.057666666666666665,548391.0349999999,441864.6975,-0.7252416218106664,-0.11631995489979108
2026-06-30,165869.39,157675.02,23.0,8.0,8.0,7.0,6.0,0.044625,2026,6,2,27,308259.04,256097.52000000002,429467.64,31.0,5.0,5.0,4.0,4.0,0.0786,481476.715,421252.75375000003,0.20367834877901192,-0.464750295667954
2026-07-07,577998.64,536439.34,49.0,12.0,11.0,9.0,9.0,0.06441666666666666,2026,7,3,28,157675.02,308259.04,932082.66,23.0,8.0,8.0,7.0,6.0,0.044625,413528.56000000006,401678.36750000005,-0.48849830973326847,-0.6328593698002485
2026-07-14,449400.08,396457.79000000004,41.0,9.0,9.0,5.0,7.0,0.07377777777777778,2026,7,3,29,536439.34,157675.02,256097.52000000002,49.0,12.0,11.0,9.0,9.0,0.06441666666666666,314617.73,435718.18875000003,2.4021834276602596,-0.42447235312799414
2026-07-21,345883.95999999996,306735.67,31.0,7.0,7.0,4.0,5.0,0.07442857142857143,2026,7,3,30,396457.79000000004,536439.34,308259.04,41.0,9.0,9.0,5.0,7.0,0.07377777777777778,349707.7975,449049.41625,-0.2609457203492942,0.548073522929859
2026-07-28,638977.19,579869.71,50.0,11.0,11.0,9.0,10.0,0.06863636363636363,2026,7,3,31,306735.67,396457.79000000004,157675.02,31.0,7.0,7.0,4.0,5.0,0.07442857142857143,349326.95499999996,415401.835,-0.22630938844712833,-0.004941850204944531
2026-08-04,240150.1,209604.42,24.0,4.0,4.0,3.0,4.0,0.12625,2026,8,3,32,579869.71,306735.67,536439.34,50.0,11.0,11.0,9.0,10.0,0.06863636363636363,454875.62749999994,434202.09375,0.890454116405829,2.6776257266369776
2026-08-11,404898.77,366424.63,26.0,5.0,5.0,4.0,5.0,0.0882,2026,8,3,33,209604.42,579869.71,396457.79000000004,24.0,4.0,4.0,3.0,4.0,0.12625,373166.89749999996,343892.31375,-0.6385318695125496,-0.6092672472529699
2026-08-18,68873.37,64672.09,8.0,1.0,1.0,1.0,1.0,0.061,2026,8,3,34,366424.63,209604.42,306735.67,26.0,5.0,5.0,4.0,5.0,0.0882,365658.6075,357683.2025,0.7481722475127193,-0.07575373913071559
2026-08-25,338688.3,289917.18,12.0,1.0,1.0,1.0,1.0,0.144,2026,8,3,35,64672.09,366424.63,579869.71,8.0,1.0,1.0,1.0,1.0,0.061,305142.7125,327234.83375,-0.8235050684229387,-0.7891601912487061
2026-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,9,3,36,289917.18,64672.09,209604.42,12.0,1.0,1.0,1.0,1.0,0.144,232654.58000000002,343765.10375,3.4828793997534335,-0.5000304809851164
2026-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,9,3,37,0.0,289917.18,366424.63,0.0,0.0,0.0,0.0,0.0,0.0,180253.475,276710.18625,-1.0,-1.0
2026-09-15,105346.05,94495.41,9.0,1.0,1.0,1.0,1.0,0.103,2026,9,3,38,0.0,0.0,64672.09,0.0,0.0,0.0,0.0,0.0,0.0,88647.3175,227152.9625,,-1.0
